,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y
0,spurs,18-11-2017,1,110,2963,Mustafi,Scored,arsenal,60.799999999999955,193.68800000000002
1,arsenal,18-11-2017,1,110,856,Harry Kane,Missed,spurs,71.55200000000002,199.366
2,arsenal,18-11-2017,1,110,856,Harry Kane,Missed,spurs,63.48799999999998,156.948
3,arsenal,18-11-2017,1,110,15553,Dier,Missed,spurs,34.81600000000002,149.93400000000003
4,arsenal,18-11-2017,1,110,20898,Davinson Sán,Missed,spurs,67.52000000000001,205.044
5,spurs,18-11-2017,0,110,1151,Alexandre La,Missed,arsenal,79.61599999999999,141.584
6,spurs,18-11-2017,0,110,2103,Granit Xhaka,Missed,arsenal,112.76799999999992,179.66
7,spurs,18-11-2017,0,110,1581,Alexis Sánch,Scored,arsenal,22.27199999999999,204.042
8,spurs,18-11-2017,0,110,1581,Alexis Sánch,Missed,arsenal,96.19200000000001,123.214
9,spurs,18-11-2017,0,110,1581,Alexis Sánch,Missed,arsenal,95.29599999999999,202.038
10,spurs,18-11-2017,0,110,1581,Alexis Sánch,Missed,arsenal,24.95999999999998,149.93400000000003
11,spurs,18-11-2017,0,110,3832,Bellerín,Missed,arsenal,75.13599999999997,236.774
12,spurs,18-11-2017,0,110,1581,Alexis Sánch,Missed,arsenal,121.72799999999995,179.994
13,spurs,18-11-2017,0,110,2196,Kolasinac,Missed,arsenal,73.34399999999994,130.562
14,spurs,18-11-2017,0,110,9578,Iwobi,Missed,arsenal,63.48799999999994,147.596
15,spurs,18-11-2017,0,110,1581,Alexis Sánch,Missed,arsenal,46.01599999999996,140.582
16,spurs,18-11-2017,0,110,9578,Iwobi,Missed,arsenal,98.43200000000002,138.244
17,spurs,18-11-2017,0,110,2103,Granit Xhaka,Missed,arsenal,137.856,222.07800000000003
18,arsenal,18-11-2017,0,110,856,Harry Kane,Missed,spurs,59.90399999999999,244.79000000000002
19,arsenal,18-11-2017,0,110,18185,Alli,Missed,spurs,60.800000000000004,129.56
20,arsenal,18-11-2017,0,110,61,Eriksen,Missed,spurs,76.92799999999998,234.77
21,arsenal,18-11-2017,0,110,856,Harry Kane,Missed,spurs,112.76799999999999,160.95600000000002
22,arsenal,18-11-2017,0,110,18185,Alli,Missed,spurs,106.49600000000002,204.376
23,arsenal,18-11-2017,0,110,856,Harry Kane,Missed,spurs,64.38399999999999,135.23800000000003
24,arsenal,18-11-2017,0,110,61,Eriksen,Missed,spurs,107.84,254.81
25,arsenal,18-11-2017,0,110,61,Eriksen,Missed,spurs,137.408,222.07800000000003
26,arsenal,18-11-2017,0,110,2241,Son,Missed,spurs,68.86399999999999,206.046
27,arsenal,18-11-2017,0,110,2241,Son,Missed,spurs,87.68,192.352
28,hudd-town,18-11-2017,1,111,15153,Callum Wilso,Missed,b-mouth,56.767999999999915,207.048
29,hudd-town,18-11-2017,1,111,15153,Callum Wilso,Scored,b-mouth,37.05599999999998,174.984
30,b-mouth,18-11-2017,1,111,23637,Sabiri,Missed,hudd-town,45.56799999999998,186.34
31,hudd-town,18-11-2017,0,111,10164,Harry Arter,Missed,b-mouth,102.01599999999996,210.722
32,hudd-town,18-11-2017,0,111,582,Joshua King,Missed,b-mouth,74.68799999999993,201.37
33,hudd-town,18-11-2017,0,111,15153,Callum Wilso,Scored,b-mouth,45.56799999999993,198.364
34,hudd-town,18-11-2017,0,111,582,Joshua King,Missed,b-mouth,109.18399999999997,234.436
35,hudd-town,18-11-2017,0,111,642,Surman,Missed,b-mouth,80.06399999999996,204.376
36,hudd-town,18-11-2017,0,111,10150,Steve Cook,Missed,b-mouth,121.27999999999997,126.554
37,hudd-town,18-11-2017,0,111,10164,Harry Arter,Scored,b-mouth,85.43999999999994,178.992
38,hudd-town,18-11-2017,0,111,15153,Callum Wilso,Scored,b-mouth,76.47999999999996,159.62
39,b-mouth,18-11-2017,0,111,8088,van La Parra,Missed,hudd-town,126.20799999999998,157.95000000000002
40,b-mouth,18-11-2017,0,111,8088,van La Parra,Missed,hudd-town,176.83200000000005,241.45
41,b-mouth,18-11-2017,0,111,10803,Scott Malone,Missed,hudd-town,63.040000000000006,228.09
42,b-mouth,18-11-2017,0,111,8088,van La Parra,Missed,hudd-town,62.14399999999999,254.47600000000003
43,b-mouth,18-11-2017,0,111,8088,van La Parra,Missed,hudd-town,83.2,185.33800000000002
44,b-mouth,18-11-2017,0,111,11309,Mooy,Missed,hudd-town,82.75200000000004,288.87800000000004
45,b-mouth,18-11-2017,0,111,10803,Scott Malone,Missed,hudd-town,116.35200000000003,138.244
46,b-mouth,18-11-2017,0,111,8088,van La Parra,Missed,hudd-town,116.35200000000003,173.64800000000002
47,b-mouth,18-11-2017,0,111,8088,van La Parra,Missed,hudd-town,64.83200000000002,160.95600000000002
48,b-mouth,18-11-2017,0,111,10072,Tom Ince,Missed,hudd-town,95.29600000000002,214.06199999999998
