,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y
0,hudd-town,04-11-2017,1,100,7342,Rondón,Missed,wba,56.76799999999998,206.714
1,hudd-town,04-11-2017,1,100,275,McClean,Missed,wba,50.04799999999998,146.59400000000002
2,wba,04-11-2017,0,100,8088,van La Parra,Missed,hudd-town,115.00799999999992,253.474
3,wba,04-11-2017,0,100,20871,Schindler,Missed,hudd-town,29.43999999999994,215.06400000000002
4,wba,04-11-2017,0,100,10072,Tom Ince,Missed,hudd-town,103.80799999999994,120.542
5,wba,04-11-2017,0,100,10072,Tom Ince,Missed,hudd-town,79.16799999999995,178.992
6,wba,04-11-2017,0,100,10072,Tom Ince,Missed,hudd-town,113.21599999999995,235.43800000000002
7,wba,04-11-2017,0,100,16287,Hadergjonaj,Missed,hudd-town,152.64,200.702
8,wba,04-11-2017,0,100,8088,van La Parra,Scored,hudd-town,126.20799999999997,149.60000000000002
9,hudd-town,04-11-2017,0,100,750,Jay Rodrigue,Missed,wba,76.92799999999998,245.45800000000003
10,hudd-town,04-11-2017,0,100,750,Jay Rodrigue,Missed,wba,109.184,141.584
11,hudd-town,04-11-2017,0,100,846,Livermore,Missed,wba,95.744,189.68
12,hudd-town,04-11-2017,0,100,750,Jay Rodrigue,Missed,wba,90.36799999999998,262.49199999999996
13,hudd-town,04-11-2017,0,100,750,Jay Rodrigue,Missed,wba,158.91200000000003,172.64600000000002
14,hudd-town,04-11-2017,0,100,374,Kieran Gibbs,Missed,wba,119.48799999999999,268.504
15,hudd-town,04-11-2017,0,100,10899,Matt Phillip,Missed,wba,102.01600000000002,183
16,b-mouth,04-11-2017,1,101,5493,Dwight Gayle,Missed,newcastle,33.47199999999998,159.62
17,b-mouth,04-11-2017,1,101,10853,Jamaal Lasce,Missed,newcastle,75.13599999999997,235.772
18,b-mouth,04-11-2017,1,101,5493,Dwight Gayle,Missed,newcastle,61.247999999999934,174.984
19,b-mouth,04-11-2017,1,101,2042,Mato Sanmart,Missed,newcastle,38.39999999999998,208.05
20,newcastle,04-11-2017,1,101,15153,Callum Wilso,Missed,b-mouth,63.040000000000006,174.65
21,newcastle,04-11-2017,1,101,10162,Marc Pugh,Missed,b-mouth,50.94399999999999,219.072
22,newcastle,04-11-2017,1,101,10150,Steve Cook,Scored,b-mouth,45.120000000000005,196.36
23,b-mouth,04-11-2017,0,101,10182,Matt Ritchie,Missed,newcastle,128.89599999999996,250.13400000000001
24,b-mouth,04-11-2017,0,101,2042,Mato Sanmart,Missed,newcastle,64.38399999999996,223.41400000000002
25,b-mouth,04-11-2017,0,101,8331,Atsu,Missed,newcastle,130.68799999999993,203.37400000000002
26,b-mouth,04-11-2017,0,101,523,Shelvey,Missed,newcastle,141.43999999999994,223.41400000000002
27,b-mouth,04-11-2017,0,101,10182,Matt Ritchie,Missed,newcastle,115.00799999999992,218.404
28,b-mouth,04-11-2017,0,101,2042,Mato Sanmart,Missed,newcastle,102.46399999999994,229.76
29,b-mouth,04-11-2017,0,101,8331,Atsu,Missed,newcastle,80.512,132.56600000000003
30,b-mouth,04-11-2017,0,101,9548,Isaac Hayden,Missed,newcastle,136.06399999999996,157.616
31,b-mouth,04-11-2017,0,101,5493,Dwight Gayle,Missed,newcastle,57.21599999999995,185.33800000000002
32,b-mouth,04-11-2017,0,101,523,Shelvey,Missed,newcastle,133.37599999999998,212.05800000000002
33,b-mouth,04-11-2017,0,101,411,Ciaran Clark,Missed,newcastle,60.351999999999975,142.586
34,b-mouth,04-11-2017,0,101,8331,Atsu,Missed,newcastle,117.24799999999993,139.91400000000002
35,newcastle,04-11-2017,0,101,10166,Charlie Dani,Missed,b-mouth,85.88799999999998,260.822
36,newcastle,04-11-2017,0,101,582,Joshua King,Missed,b-mouth,117.24799999999999,149.93400000000003
37,newcastle,04-11-2017,0,101,582,Joshua King,Missed,b-mouth,34.36799999999998,223.08
38,newcastle,04-11-2017,0,101,10162,Marc Pugh,Missed,b-mouth,121.72799999999998,156.948
39,newcastle,04-11-2017,0,101,10166,Charlie Dani,Missed,b-mouth,141.88799999999998,238.444
40,newcastle,04-11-2017,0,101,582,Joshua King,Missed,b-mouth,66.17600000000002,185.33800000000002
41,newcastle,04-11-2017,0,101,10166,Charlie Dani,Missed,b-mouth,79.61600000000001,242.78600000000003
42,newcastle,04-11-2017,0,101,15153,Callum Wilso,Missed,b-mouth,52.73600000000002,203.04000000000002
43,newcastle,04-11-2017,0,101,10162,Marc Pugh,Missed,b-mouth,60.800000000000004,224.082
44,newcastle,04-11-2017,0,101,4299,Ibe,Missed,b-mouth,123.96799999999999,134.57000000000002
45,newcastle,04-11-2017,0,101,10164,Harry Arter,Missed,b-mouth,145.47200000000004,138.57800000000003
46,newcastle,04-11-2017,0,101,10162,Marc Pugh,Missed,b-mouth,56.32000000000001,212.392
47,newcastle,04-11-2017,0,101,77,Defoe,Missed,b-mouth,66.17600000000002,124.55000000000001
48,burnley,04-11-2017,1,102,437,Bertrand,Missed,s-hampton,55.42399999999992,173.982
49,burnley,04-11-2017,0,102,17351,Boufal,Missed,s-hampton,62.591999999999985,113.52800000000002
50,burnley,04-11-2017,0,102,5496,Nathan Redmo,Missed,s-hampton,79.16799999999995,135.23800000000003
51,burnley,04-11-2017,0,102,17351,Boufal,Missed,s-hampton,61.69599999999997,126.22
52,burnley,04-11-2017,0,102,5496,Nathan Redmo,Missed,s-hampton,76.92799999999994,145.592
53,s-hampton,04-11-2017,0,102,7689,Berg Gudmund,Missed,burnley,135.61600000000004,145.592
54,s-hampton,04-11-2017,0,102,7689,Berg Gudmund,Missed,burnley,109.184,121.54399999999998
55,s-hampton,04-11-2017,0,102,7689,Berg Gudmund,Missed,burnley,137.85600000000002,119.54000000000002
56,leicester,04-11-2017,1,103,758,Shawcross,Missed,stoke,52.287999999999954,202.038
57,leicester,04-11-2017,1,103,773,Crouch,Scored,stoke,47.35999999999996,161.29000000000002
58,leicester,04-11-2017,1,103,2000,Choupo-Motin,Missed,stoke,65.72799999999995,176.98800000000003
59,leicester,04-11-2017,1,103,1419,Kurt Zouma,Missed,stoke,52.73599999999999,167.636
60,stoke,04-11-2017,1,103,2354,Okazaki,Missed,leicester,48.256000000000014,192.352
61,stoke,04-11-2017,1,103,1706,Iborra,Missed,leicester,58.56,192.352
62,leicester,04-11-2017,0,103,2172,Shaqiri,Missed,stoke,116.35199999999998,214.06199999999998
63,leicester,04-11-2017,0,103,2000,Choupo-Motin,Missed,stoke,72.44799999999992,165.632
64,leicester,04-11-2017,0,103,2172,Shaqiri,Scored,stoke,55.42399999999992,239.78
65,leicester,04-11-2017,0,103,2172,Shaqiri,Missed,stoke,107.83999999999997,260.822
66,leicester,04-11-2017,0,103,2000,Choupo-Motin,Missed,stoke,74.23999999999995,235.43800000000002
67,leicester,04-11-2017,0,103,1419,Kurt Zouma,Missed,stoke,84.54399999999993,255.812
68,leicester,04-11-2017,0,103,2000,Choupo-Motin,Missed,stoke,82.75200000000001,138.57800000000003
69,stoke,04-11-2017,0,103,10705,Vardy,Missed,leicester,37.05600000000001,190.348
70,stoke,04-11-2017,0,103,11509,Mahrez,Missed,leicester,101.12,250.46800000000002
71,stoke,04-11-2017,0,103,11509,Mahrez,Missed,leicester,54.080000000000005,121.21000000000001
72,stoke,04-11-2017,0,103,1706,Iborra,Scored,leicester,44.22399999999999,174.65
73,stoke,04-11-2017,0,103,1706,Iborra,Missed,leicester,46.01600000000002,172.98000000000002
74,stoke,04-11-2017,0,103,11509,Mahrez,Missed,leicester,145.024,155.946
75,stoke,04-11-2017,0,103,11509,Mahrez,Missed,leicester,60.35200000000003,240.78199999999998
76,stoke,04-11-2017,0,103,11509,Mahrez,Scored,leicester,46.91200000000003,122.54600000000002
77,stoke,04-11-2017,0,103,15510,Iheanacho,Missed,leicester,106.04799999999999,243.788
78,stoke,04-11-2017,0,103,10695,Andy King,Missed,leicester,121.72799999999998,197.696
79,stoke,04-11-2017,0,103,10705,Vardy,Missed,leicester,82.30399999999999,170.976
80,stoke,04-11-2017,0,103,11509,Mahrez,Missed,leicester,71.10399999999998,196.026
81,brighton,04-11-2017,1,104,15161,Mawson,Missed,swansea,77.82399999999996,181.99800000000002
82,brighton,04-11-2017,1,104,21748,McBurnie,Missed,swansea,69.75999999999999,170.976
83,swansea,04-11-2017,1,104,10212,Lewis Dunk,Missed,brighton,48.256000000000014,175.652
84,brighton,04-11-2017,0,104,861,Tom Carroll,Missed,swansea,165.632,241.45
85,brighton,04-11-2017,0,104,20451,Tammy Abraha,Missed,swansea,42.87999999999994,206.38
86,brighton,04-11-2017,0,104,20451,Tammy Abraha,Missed,swansea,51.839999999999975,184.67000000000002
87,brighton,04-11-2017,0,104,1180,Jordan Ayew,Missed,swansea,35.26399999999995,206.714
88,brighton,04-11-2017,0,104,1180,Jordan Ayew,Missed,swansea,37.50399999999996,204.042
89,brighton,04-11-2017,0,104,1180,Jordan Ayew,Missed,swansea,54.976,231.764
90,brighton,04-11-2017,0,104,20451,Tammy Abraha,Missed,swansea,69.75999999999999,184.67000000000002
91,brighton,04-11-2017,0,104,206,Luciano Nars,Missed,swansea,71.99999999999994,221.41
92,swansea,04-11-2017,0,104,18702,Groß,Missed,brighton,117.69600000000003,150.602
93,swansea,04-11-2017,0,104,5195,Glenn Murray,Scored,brighton,30.78399999999999,190.348
94,swansea,04-11-2017,0,104,5195,Glenn Murray,Missed,brighton,59.00799999999998,119.54000000000002
95,swansea,04-11-2017,0,104,10340,Dale Stephen,Missed,brighton,153.984,241.45
96,liverpool,04-11-2017,1,105,583,583,Missed,west-ham,49.15199999999999,150.602
97,liverpool,04-11-2017,0,105,1174,1174,Missed,west-ham,41.535999999999945,231.43
98,liverpool,04-11-2017,0,105,18311,18311,Missed,west-ham,116.35199999999998,196.36
99,liverpool,04-11-2017,0,105,18311,18311,Scored,west-ham,48.25599999999997,145.92600000000002
100,liverpool,04-11-2017,0,105,18311,18311,Missed,west-ham,47.35999999999996,135.572
101,liverpool,04-11-2017,0,105,583,583,Missed,west-ham,41.983999999999924,181.99800000000002
102,west-ham,04-11-2017,0,105,2021,2021,Missed,liverpool,24.96,137.576
103,west-ham,04-11-2017,0,105,2178,2178,Scored,liverpool,32.576000000000015,186.006
104,west-ham,04-11-2017,0,105,9258,9258,Scored,liverpool,73.79200000000003,154.61
105,west-ham,04-11-2017,0,105,3272,3272,Missed,liverpool,124.41600000000003,161.62400000000002
106,west-ham,04-11-2017,0,105,90,90,Scored,liverpool,34.81600000000002,167.97
107,west-ham,04-11-2017,0,105,90,90,Missed,liverpool,69.76,142.586
108,west-ham,04-11-2017,0,105,2021,2021,Missed,liverpool,58.56,138.57800000000003
109,west-ham,04-11-2017,0,105,3272,3272,Missed,liverpool,63.48799999999998,250.46800000000002
