,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y
0,wba,09-09-2017,1,31,471,Shane Duffy,Missed,brighton,59.007999999999925,230.762
1,wba,09-09-2017,1,31,1753,Hemed,Scored,brighton,49.15199999999999,154.61
2,brighton,09-09-2017,1,31,374,Kieran Gibbs,Missed,wba,71.10399999999998,192.352
3,wba,09-09-2017,0,31,10234,Solly March,Missed,brighton,132.03199999999998,217.402
4,wba,09-09-2017,0,31,10234,Solly March,Missed,brighton,134.272,126.22
5,wba,09-09-2017,0,31,10715,Anthony Knoc,Missed,brighton,143.67999999999995,195.024
6,wba,09-09-2017,0,31,10340,Dale Stephen,Missed,brighton,131.13599999999997,197.362
7,wba,09-09-2017,0,31,8105,Davy Pröpper,Missed,brighton,146.81599999999997,228.758
8,wba,09-09-2017,0,31,10715,Anthony Knoc,Missed,brighton,123.51999999999998,250.46800000000002
9,wba,09-09-2017,0,31,10340,Dale Stephen,Missed,brighton,154.88,170.976
10,wba,09-09-2017,0,31,18702,Groß,Scored,brighton,50.94399999999996,204.042
11,wba,09-09-2017,0,31,18702,Groß,Missed,brighton,119.93599999999998,213.394
12,wba,09-09-2017,0,31,18702,Groß,Scored,brighton,128.89599999999996,209.386
13,brighton,09-09-2017,0,31,10899,Matt Phillip,Missed,wba,126.65600000000002,145.592
14,brighton,09-09-2017,0,31,546,Gareth Barry,Missed,wba,74.68799999999999,206.046
15,brighton,09-09-2017,0,31,546,Gareth Barry,Missed,wba,103.80799999999998,216.066
16,brighton,09-09-2017,0,31,1335,Krychowiak,Missed,wba,149.504,222.07800000000003
17,brighton,09-09-2017,0,31,868,James Morris,Scored,wba,59.00799999999998,168.972
18,brighton,09-09-2017,0,31,1683,Nyom,Missed,wba,124.864,132.56600000000003
19,brighton,09-09-2017,0,31,1335,Krychowiak,Missed,wba,135.61600000000004,226.42000000000002
20,brighton,09-09-2017,0,31,546,Gareth Barry,Missed,wba,138.304,210.388
21,brighton,09-09-2017,0,31,16633,Oliver Burke,Missed,wba,130.24,140.582
22,brighton,09-09-2017,0,31,868,James Morris,Missed,wba,59.45600000000002,167.636
23,brighton,09-09-2017,0,31,10899,Matt Phillip,Missed,wba,54.080000000000005,244.45600000000002
24,spurs,09-09-2017,1,32,592,Michael Kean,Missed,everton,52.287999999999954,192.01800000000003
25,spurs,09-09-2017,1,32,22275,Calvert-Lewi,Missed,everton,72.44799999999992,179.994
26,spurs,09-09-2017,1,32,22275,Calvert-Lewi,Missed,everton,41.535999999999945,177.656
27,everton,09-09-2017,1,32,1434,Moussa Sisso,Missed,spurs,49.6,178.992
28,spurs,09-09-2017,0,32,15595,Sandro Ramír,Missed,everton,50.49599999999998,200.36800000000002
29,spurs,09-09-2017,0,32,863,Gylfi Sigurd,Missed,everton,102.46399999999994,183
30,spurs,09-09-2017,0,32,15595,Sandro Ramír,Missed,everton,85.88799999999992,178.65800000000002
31,spurs,09-09-2017,0,32,1098,Idrissa Guey,Missed,everton,105.59999999999997,254.476
32,spurs,09-09-2017,0,32,863,Gylfi Sigurd,Missed,everton,27.64799999999991,131.564
33,spurs,09-09-2017,0,32,22275,Calvert-Lewi,Missed,everton,69.31200000000001,176.65400000000002
34,everton,09-09-2017,0,32,61,Eriksen,Missed,spurs,76.03200000000004,212.05800000000002
35,everton,09-09-2017,0,32,61,Eriksen,Missed,spurs,82.75200000000004,185.33800000000002
36,everton,09-09-2017,0,32,1434,Moussa Sisso,Missed,spurs,61.69600000000002,194.022
37,everton,09-09-2017,0,32,856,Harry Kane,Scored,spurs,113.664,67.77000000000004
38,everton,09-09-2017,0,32,61,Eriksen,Missed,spurs,130.24,255.478
39,everton,09-09-2017,0,32,61,Eriksen,Scored,spurs,47.36,194.356
40,everton,09-09-2017,0,32,831,Ben Davies,Missed,spurs,48.70399999999999,245.792
41,everton,09-09-2017,0,32,7673,Alderweireld,Missed,spurs,110.97600000000003,99.16600000000003
42,everton,09-09-2017,0,32,856,Harry Kane,Missed,spurs,89.92,183.334
43,everton,09-09-2017,0,32,856,Harry Kane,Scored,spurs,53.18399999999999,199.366
44,everton,09-09-2017,0,32,856,Harry Kane,Missed,spurs,38.400000000000006,145.592
45,everton,09-09-2017,0,32,61,Eriksen,Missed,spurs,54.97600000000001,126.554
46,everton,09-09-2017,0,32,18185,Alli,Missed,spurs,140.99200000000002,146.59400000000002
47,everton,09-09-2017,0,32,18185,Alli,Missed,spurs,101.56799999999998,258.818
48,chelsea,09-09-2017,1,33,10695,Andy King,Missed,leicester,68.416,176.98800000000003
