,AwayAttack,AwayDefense,HomeAttack,HomeDefense
Arsenal,1.4434460712283232,1.210801667698366,1.618590907417495,1.0384461969073886
Bournemouth,0.8989079546890993,1.5897211937558406,1.1745219258066935,1.3051623049494334
Burnley,0.8388307500471804,1.550273439083364,0.9721996051607484,1.2247407136700876
Chelsea,1.2531945006481666,0.6613495844131556,1.6032257117435906,0.8680746309002246
Crystal Palace,1.1595098196126112,1.374733830003278,1.1095374664828241,1.1124243621699852
Everton,1.0876624067569978,1.2610408211595519,1.3989576621463922,0.9273703479654042
Hull,0.8099685327912318,1.5593813079886292,1.0060380534001256,1.6714387008735225
Leicester,0.996657321631825,1.3947898609301093,1.2507951461745914,1.2404545929749144
Liverpool,1.52822666444401,0.9424107723196012,1.4941854808592772,0.8011810218763488
Man City,1.686001091190923,0.8223254139016496,1.6216027707920972,0.704189249582552
Man United,1.1905595389436558,0.8644864737452016,1.3351455605879285,0.6495830032146012
Middlesbrough,0.6820028402165196,1.4357790654631817,0.9708382283218229,1.2083157615982352
Southampton,1.218152709114833,1.103098073093454,1.2837286725140151,1.0782668536948425
Stoke,1.08778426744354,1.384352858630753,1.2257444538832867,1.1521119564224505
Sunderland,0.7792972389440979,1.6532879520462576,0.8793273419315545,1.4292400313280418
Swansea,0.8825285575085103,1.384476752753803,1.1302020729542384,1.3568197117327627
Tottenham,1.4168017685412198,0.8917835238572493,1.5414532366677594,0.6713787929681869
Watford,0.8571013977797227,1.3707982122207996,1.0235400962092376,1.2307794968906114
West Brom,0.9419900447284867,1.1997271563737073,1.1838470228646818,1.087946869228732
West Ham,1.2413385932296543,1.3251501274669732,1.155441179592884,1.2622894055661744
