,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Brighton,Everton,Away Winner,2.37,2.5,"B3,P3,UN,PS,BL,FB,OE,MR,SJ,PE,BD,MA"
1,Burnley,West Ham,Home Winner,2.57,2.9200000000000004,"MR,MA"
2,Burnley,West Ham,Away Winner,2.79,2.88,SO
3,Leicester,West Brom,Home Winner,1.95,2.05,"B3,WA,BB,MR,SJ,MA"
4,Liverpool,Man Utd,Home Winner,2.03,2.8,SJ
5,Southampton,Newcastle,Home Winner,1.76,1.8800000000000001,"UN,MA"
6,Watford,Arsenal,Away Winner,1.64,1.67,"SK,LD,FR,CE,PS,BL,WA,SJ"
7,Everton,Arsenal,Home Winner,2.22,4.35,MR
8,Stoke,Bournemouth,Home Winner,1.69,2.0,BL
9,Swansea,Leicester,Home Winner,2.45,3.1,VC
10,Tottenham,Liverpool,Home Winner,1.72,2.13,MR
11,West Ham,Brighton,Home Winner,1.68,1.8300000000000003,BL
