,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,West Ham,Huddersfield,Home Winner,1.79,1.9700000000000002,MR
1,Bournemouth,Brighton,Home Winner,1.96,2.15,"PS,VC"
2,Chelsea,Arsenal,Home Winner,1.76,1.8500000000000003,VC
3,Crystal Palace,Southampton,Home Winner,2.25,3.2,"B3,WA"
4,Huddersfield,Leicester,Home Winner,2.61,3.0399999999999996,MR
5,Newcastle,Stoke,Home Winner,2.39,2.52,MR
6,Newcastle,Stoke,Away Winner,2.73,3.1500000000000004,MR
7,West Brom,West Ham,Home Winner,2.21,2.4,"FB,BL,SJ"
