,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Burnley,Crystal Palace,Away Winner,2.56,3.5,"VC,WA,BL"
1,Swansea,Newcastle,Home Winner,1.73,2.4,"PS,UN,BY,FB,WA,BB,BW,OE,EB,BL,SJ,P3,MA"
2,West Ham,Huddersfield,Home Winner,1.79,1.98,MR
3,Bournemouth,Brighton,Home Winner,1.96,2.05,BL
4,Chelsea,Arsenal,Home Winner,1.76,1.8500000000000003,VC
5,Crystal Palace,Southampton,Home Winner,2.25,3.25,"VC,MR"
6,Huddersfield,Leicester,Home Winner,2.61,3.1,"SK,VC"
7,Newcastle,Stoke,Home Winner,2.39,2.5,BL
8,Newcastle,Stoke,Away Winner,2.73,3.18,MR
9,West Brom,West Ham,Home Winner,2.21,2.4,"VC,FB,WA,BL,SJ"
