,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Crystal Palace,Stoke,Home Winner,1.97,2.15,BL
1,Liverpool,Chelsea,Home Winner,2.17,2.2,FR
2,Newcastle,Watford,Away Winner,2.41,3.5999999999999996,VC
3,Southampton,Everton,Home Winner,1.83,1.91,"WH,FR,WA,BB,MR"
4,Swansea,Bournemouth,Home Winner,2.0,2.85,SO
5,West Ham,Leicester,Home Winner,2.26,2.88,"SJ,VC"
6,Everton,West Ham,Home Winner,1.86,2.1,"LD,P3,CE,BL,PS,MR,VC"
7,West Brom,Newcastle,Home Winner,1.92,2.4,"BY,PS,VC"
8,Bournemouth,Burnley,Home Winner,1.82,2.05,"FR,BL"
9,Brighton,Crystal Palace,Away Winner,2.43,3.1,"MR,VC"
