,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Brighton,Southampton,Away Winner,2.04,2.5,"B3,FB,VC"
1,Burnley,Newcastle,Home Winner,2.61,3.05,"EB,MA"
2,Crystal Palace,West Ham,Home Winner,2.03,2.43,"MR,MA"
3,Leicester,Everton,Home Winner,1.87,2.17,"SO,MR,MA"
4,Man Utd,Tottenham,Home Winner,2.16,2.2,"BL,MA"
5,Watford,Stoke,Away Winner,2.42,4.2,VC
6,Chelsea,Man Utd,Away Winner,2.62,3.32,MR
7,Everton,Watford,Away Winner,2.57,4.25,MR
8,Man City,Arsenal,Home Winner,1.41,1.5,"LD,FB,PP,UN,CE,BL,MR,EE,SJ,VC"
9,Newcastle,Bournemouth,Home Winner,1.85,2.15,MR
10,Southampton,Burnley,Home Winner,1.42,1.67,"BL,MR"
11,Stoke,Leicester,Home Winner,1.99,2.6,"SO,P3"
12,West Ham,Liverpool,Home Winner,2.73,5.5,"FB,PP,FR,VC"
