,Unnamed: 0,Against,Date,Header,Match No,PlayerID,PlayerName,Scored,Team,x,y,Angle,Distance,Colour,ScoredBinary
40,40,sunderland,08/08/2015,0,3,10705,10705,Missed,leicester,81.85600000000002,29.391999999999996,0.34473166933516114,86.97295211731061,r,0.0
41,41,sunderland,08/08/2015,0,3,11509,11509,Missed,leicester,80.064,2.337999999999994,0.029193342506682162,80.09812944132965,r,0.0
42,42,sunderland,08/08/2015,0,3,10693,10693,Missed,leicester,137.408,8.684000000000026,0.06311471041333928,137.68213507931955,r,0.0
43,43,sunderland,08/08/2015,0,3,10705,10705,Missed,leicester,32.576,47.762,0.9722202296206393,57.81353146106887,r,0.0
44,44,sunderland,08/08/2015,0,3,10705,10705,Missed,leicester,61.69600000000001,-27.388000000000005,0.41778511033477184,67.50184412295712,r,0.0
45,45,sunderland,08/08/2015,0,3,11509,11509,Missed,leicester,48.70399999999999,-59.452,0.8844479429025144,76.85453740671399,r,0.0
46,46,sunderland,08/08/2015,0,3,11509,11509,Missed,leicester,63.04,-72.81200000000001,0.8572057066052466,96.31006668048778,r,0.0
47,47,sunderland,08/08/2015,0,3,10705,10705,Missed,leicester,115.008,-33.400000000000006,0.2826397980194418,119.75975978599823,r,0.0
48,48,sunderland,08/08/2015,0,3,413,413,Scored,leicester,84.096,16.69999999999999,0.19603227783613242,85.73813163348034,b,1.0
49,49,sunderland,08/08/2015,0,3,413,413,Missed,leicester,99.776,-11.021999999999991,0.11002136187032487,100.38294008445857,r,0.0
50,50,sunderland,08/08/2015,0,3,10695,10695,Missed,leicester,71.55199999999998,-74.48200000000003,0.8054592925250927,103.28241393383483,r,0.0
51,51,sunderland,08/08/2015,0,3,2354,2354,Missed,leicester,75.13600000000002,-14.695999999999998,0.19315352123375698,76.55972121161363,r,0.0
52,52,leicester,08/08/2015,0,3,77,77,Missed,sunderland,38.848,22.377999999999986,0.5226154790479388,44.832376559803286,r,0.0
53,53,leicester,08/08/2015,0,3,553,553,Missed,sunderland,146.816,42.418000000000006,0.2812604214843938,152.82089052220576,r,0.0
54,54,leicester,08/08/2015,0,3,3670,3670,Missed,sunderland,84.992,121.24199999999999,0.9593920265464165,148.06506214499083,r,0.0
55,55,leicester,08/08/2015,0,3,77,77,Scored,sunderland,74.24,-14.027999999999992,0.18675291393088075,75.553705296299,b,1.0
56,56,leicester,08/08/2015,0,3,77,77,Missed,sunderland,77.376,-39.412000000000006,0.4711050839029989,86.83519516877935,r,0.0
57,57,leicester,08/08/2015,0,3,8494,8494,Missed,sunderland,98.432,5.009999999999991,0.050854197676231866,98.55941722636148,r,0.0
58,58,leicester,08/08/2015,0,3,333,333,Missed,sunderland,147.264,6.680000000000007,0.0453296397718659,147.4154269267637,r,0.0
59,59,man-utd,08/08/2015,1,4,7673,7673,Missed,spurs,76.032,1.0020000000000095,0.01317789875164836,76.03860222281838,r,0.0
60,60,man-utd,08/08/2015,1,4,856,856,Missed,spurs,59.904,0.3340000000000032,0.005575529831488729,59.90493111589396,r,0.0
61,61,spurs,08/08/2015,0,4,854,854,Scored,man-utd,58.56,0.3340000000000032,0.005703490067301905,58.56095248542326,b,1.0
62,62,spurs,08/08/2015,0,4,7959,7959,Missed,man-utd,78.72,42.418000000000006,0.49423978910149957,89.42105526105135,r,0.0
63,63,spurs,08/08/2015,0,4,313,313,Missed,man-utd,108.288,-26.385999999999996,0.2390075195263595,111.45632301489225,r,0.0
64,64,spurs,08/08/2015,0,4,313,313,Missed,man-utd,84.096,11.022000000000048,0.13032166791470423,84.81522092171902,r,0.0
65,65,spurs,08/08/2015,0,4,313,313,Missed,man-utd,86.336,-55.77799999999999,0.573598530773106,102.78662451895188,r,0.0
66,66,spurs,08/08/2015,0,4,7959,7959,Missed,man-utd,100.224,69.138,0.6038710328244286,121.7576002555898,r,0.0
67,67,spurs,08/08/2015,0,4,7959,7959,Missed,man-utd,139.2,15.030000000000001,0.10755744643065611,140.00907434877212,r,0.0
68,68,spurs,08/08/2015,0,4,81,81,Missed,man-utd,62.592,32.397999999999996,0.47763306611177764,70.47970536260775,r,0.0
69,69,spurs,08/08/2015,0,4,73,73,Missed,man-utd,65.28,11.355999999999995,0.172234774431474,66.26037379912673,r,0.0
70,70,spurs,08/08/2015,0,4,73,73,Missed,man-utd,129.344,64.796,0.4644142619153618,144.6664852410537,r,0.0
71,71,man-utd,08/08/2015,0,4,61,61,Missed,spurs,59.904,-36.74000000000001,0.550152194363571,70.27315857423801,r,0.0
72,72,man-utd,08/08/2015,0,4,856,856,Missed,spurs,91.712,22.377999999999986,0.2393264801482766,94.40267913571097,r,0.0
