Date,HomeTeam,AwayTeam
16-01-2016,man-city,cpalace
16-01-2016,newcastle,west-ham
16-01-2016,s-hampton,wba
16-01-2016,spurs,sunderland
17-01-2016,liverpool,man-utd
17-01-2016,stoke,arsenal
18-01-2016,swansea,watford
23-01-2016,cpalace,spurs
23-01-2016,leicester,stoke
23-01-2016,man-utd,s-hampton
23-01-2016,norwich,liverpool
23-01-2016,sunderland,b-mouth
23-01-2016,watford,newcastle
23-01-2016,wba,avilla
23-01-2016,west-ham,man-city
24-01-2016,arsenal,chelsea
24-01-2016,everton,swansea
02-02-2016,arsenal,s-hampton
02-02-2016,cpalace,b-mouth
02-02-2016,leicester,liverpool
02-02-2016,man-utd,stoke
02-02-2016,norwich,spurs
02-02-2016,sunderland,man-city
02-02-2016,wba,swansea
02-02-2016,west-ham,avilla
03-02-2016,everton,newcastle
03-02-2016,watford,chelsea
06-02-2016,avilla,norwich
06-02-2016,liverpool,sunderland
06-02-2016,man-city,leicester
06-02-2016,newcastle,wba
06-02-2016,s-hampton,west-ham
06-02-2016,stoke,everton
06-02-2016,swansea,cpalace
06-02-2016,spurs,watford
07-02-2016,b-mouth,arsenal
07-02-2016,chelsea,man-utd
13-02-2016,b-mouth,stoke
13-02-2016,chelsea,newcastle
13-02-2016,cpalace,watford
13-02-2016,everton,wba
13-02-2016,norwich,west-ham
13-02-2016,sunderland,man-utd
13-02-2016,swansea,s-hampton
14-02-2016,arsenal,leicester
14-02-2016,avilla,liverpool
14-02-2016,man-city,spurs
27-02-2016,leicester,norwich
27-02-2016,s-hampton,chelsea
27-02-2016,stoke,avilla
27-02-2016,watford,b-mouth
27-02-2016,wba,cpalace
27-02-2016,west-ham,sunderland
28-02-2016,spurs,swansea
28-02-2016,man-utd,arsenal
01-03-2016,avilla,everton
01-03-2016,b-mouth,s-hampton
01-03-2016,leicester,wba
01-03-2016,norwich,chelsea
01-03-2016,sunderland,cpalace
02-03-2016,arsenal,swansea
02-03-2016,liverpool,man-city
02-03-2016,man-utd,watford
02-03-2016,stoke,newcastle
02-03-2016,west-ham,spurs
05-03-2016,chelsea,stoke
05-03-2016,everton,west-ham
05-03-2016,man-city,avilla
05-03-2016,newcastle,b-mouth
05-03-2016,s-hampton,sunderland
05-03-2016,swansea,norwich
05-03-2016,spurs,arsenal
05-03-2016,watford,leicester
06-03-2016,cpalace,liverpool
06-03-2016,wba,man-utd
12-03-2016,b-mouth,swansea
12-03-2016,norwich,man-city
12-03-2016,stoke,s-hampton
13-03-2016,avilla,spurs
14-03-2016,leicester,newcastle
19-03-2016,chelsea,west-ham
19-03-2016,cpalace,leicester
19-03-2016,everton,arsenal
19-03-2016,swansea,avilla
19-03-2016,watford,stoke
19-03-2016,wba,norwich
20-03-2016,man-city,man-utd
20-03-2016,newcastle,sunderland
20-03-2016,s-hampton,liverpool
20-03-2016,spurs,b-mouth
02-04-2016,arsenal,watford
02-04-2016,avilla,chelsea
02-04-2016,b-mouth,man-city
02-04-2016,liverpool,spurs
02-04-2016,norwich,newcastle
02-04-2016,stoke,swansea
