,AwayAttack,AwayDefense,HomeAttack,HomeDefense
Arsenal,1.4088509340695594,1.196610335408333,1.5668451783893373,1.0919266858337167
Bournemouth,0.8713276353898121,1.6258466583436344,1.1479027573767,1.3161933822779128
Burnley,0.7996739562546555,1.6236010369778537,0.9444583908794857,1.2578907339640049
Chelsea,1.2109764938169787,0.6911963737088449,1.5368046349771654,0.85211253221231
Crystal Palace,1.1481104519309808,1.409432731175995,1.0937978006838251,1.1644247950696782
Everton,1.076772329420672,1.2953278470688923,1.3528590448906996,0.9208163009536258
Hull,0.8022591550711177,1.6178389776256343,0.9653685261599885,1.698903865584069
Leicester,0.9739574634593811,1.438440918315391,1.1950301303578512,1.2304778806475556
Liverpool,1.5000967852601208,0.9593784554167017,1.4997011798394124,0.8130135906239423
Man City,1.6209477999808657,0.851727984744008,1.5592207612780449,0.7226121449684021
Man United,1.1761341437900112,0.8721875552950867,1.3344430489312116,0.6808636143376222
Middlesbrough,0.6728207079353001,1.4422752135154988,0.9300630149049393,1.2215041944895944
Southampton,1.1868312912223558,1.120715515755226,1.2584493039122209,1.086824293403022
Stoke,1.04077268360122,1.4401714108832622,1.1994963492342317,1.1755170277400429
Sunderland,0.7678496533777824,1.6662946893313832,0.8647442387049376,1.5060364813032823
Swansea,0.888695481038663,1.4339755476302558,1.1125501434796843,1.4214022244087623
Tottenham,1.3571241246785302,0.9190927861265924,1.4880659622124084,0.695824641536199
Watford,0.8181584309369817,1.420644287921518,1.0257593230563298,1.2489551928297569
West Brom,0.9167766934832534,1.203245632054625,1.1662833844607012,1.143570047856049
West Ham,1.2492198619014538,1.3573492603400186,1.1145863666356604,1.312028825455244
