,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Crystal Palace,Huddersfield,Home Winner,1.77,1.8300000000000003,"OE,MR,MA"
1,Everton,Stoke,Home Winner,1.66,1.7100000000000002,MR
2,Brighton,Man City,Away Winner,1.27,1.33,"B3,SK,WH,FR,WA,BB,MR,BL,MA"
3,Newcastle,Tottenham,Away Winner,1.57,1.7299999999999998,"WH,FR,VC,LD,MR"
