,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Crystal Palace,Swansea,Home Winner,1.84,2.05,"PS,VC,LD,CE,BY,WA,MR,BL,SJ,MA"
1,Huddersfield,Southampton,Away Winner,1.82,2.25,BL
2,Newcastle,West Ham,Away Winner,2.25,3.3,FB
3,Watford,Brighton,Home Winner,1.98,2.15,"PS,FR,VC,LD,WA"
