,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Crystal Palace,Huddersfield,Home Winner,1.77,1.8500000000000003,PS
1,Everton,Stoke,Home Winner,1.66,1.75,"B3,SK,PS,WH,VC,UN,CE,BY,WA,MR,EB,BL,MA"
2,West Brom,Bournemouth,Home Winner,1.67,2.56,"MR,MA"
3,Brighton,Man City,Away Winner,1.27,1.33,"B3,SK,WH,SO,PP,UN,BY,WA,BB,MR,SJ,MA"
