,HomeTeam,AwayTeam,Selection,MyOdds,Bookies Odds,Bookie
0,Burnley,Crystal Palace,Away Winner,2.56,3.5,"FR,VC,UN,WA,BW,MA"
1,Swansea,Newcastle,Home Winner,1.73,2.4,"UN,WA,MA"
