,x,y,Team,Against,Scored,Match No,Season,Angle,Distance,Colour,ScoredBinary,Proba,Proba_exp
3210,17.344,0.33399999999999996,stoke,watford,Scored,129,16/17,0.019255,17.34721568,b,1,0.569065249,0.690637004
1643,19.584,-1.002,swansea,liverpool,Scored,63,16/17,0.05111964,19.60961652,b,1,0.54349468,0.647801289
8376,19.584,-5.343999999999999,man-utd,m-brough,Scored,281,16/17,0.26639030399999997,20.30003429,b,1,0.48531137,0.605393816
2594,22.272,1.67,burnley,cpalace,Scored,101,16/17,0.074841988,22.33452225,b,1,0.515992205,0.600762351
778,18.688,7.348,s-hampton,arsenal,Scored,30,16/17,0.374624962,20.08069839,b,1,0.46060787200000003,0.595025838
7651,21.824,-4.342,stoke,swansea,Scored,99,16/17,0.196390819,22.25174016,b,1,0.48686343,0.5834449389999999
5648,22.272,-3.674,arsenal,hull-city,Scored,240,16/17,0.163488154,22.57299847,b,1,0.49235837600000004,0.583307796
8063,20.48,6.68,man-city,swansea,Scored,239,16/17,0.315291455,21.54188478,b,1,0.46345246700000003,0.578182129
5649,23.616,-3.0060000000000002,arsenal,hull-city,Missed,240,16/17,0.126605764,23.80654305,r,0,0.491535987,0.570192452
7533,21.375999999999998,-6.346,leicester,b-mouth,Scored,374,16/17,0.288587362,22.29809615,b,1,0.463949179,0.569583634
564,20.48,8.35,everton,stoke,Scored,22,16/17,0.387139361,22.11680131,b,1,0.44144496,0.55931002
4146,23.168000000000003,-5.01,s-hampton,b-mouth,Scored,166,16/17,0.212967326,23.70350869,b,1,0.47121835100000004,0.558518183
7384,22.72,6.346,man-city,wba,Scored,367,16/17,0.272371887,23.58961882,b,1,0.45763530799999996,0.551616867
1774,24.96,-4.008,stoke,man-utd,Scored,68,16/17,0.159217734,25.279748100000003,b,1,0.471788534,0.5433780189999999
3427,23.168000000000003,-6.68,b-mouth,liverpool,Scored,137,16/17,0.280715113,24.11179429,b,1,0.451465446,0.542451502
384,26.304000000000002,-2.004,spurs,cpalace,Scored,15,16/17,0.07603924,26.38022805,b,1,0.483356312,0.541409362
7458,25.408,-3.674,spurs,leicester,Scored,369,16/17,0.14360476,25.67225623,b,1,0.472475184,0.540220605
5889,27.2,1.002,wba,b-mouth,Scored,255,16/17,0.036821585,27.218449699999997,b,1,0.48626497799999996,0.536744144
6500,20.928,10.354000000000001,wba,watford,Missed,296,16/17,0.459433882,23.34922911,r,0,0.414445192,0.530251735
5036,21.375999999999998,10.354000000000001,west-ham,cpalace,Scored,207,16/17,0.45106965600000004,23.75160399,b,1,0.413312581,0.524987591
9242,26.304000000000002,4.342,arsenal,stoke,Scored,360,16/17,0.163594715,26.65995836,b,1,0.45973514299999996,0.523086035
6940,27.2,-3.0060000000000002,s-hampton,chelsea,Scored,329,16/17,0.110068051,27.3655995,b,1,0.467174707,0.522127517
7613,23.168000000000003,8.684,arsenal,burnley,Scored,66,16/17,0.35861929600000003,24.74203064,b,1,0.427683527,0.522038035
615,27.648000000000003,3.0060000000000002,man-utd,hull-city,Scored,23,16/17,0.108298566,27.81093202,b,1,0.464061942,0.516406729
8832,27.648000000000003,-3.0060000000000002,m-brough,arsenal,Missed,322,16/17,0.108298566,27.81093202,r,0,0.464061942,0.516406729
3967,28.096,2.338,west-ham,burnley,Scored,159,16/17,0.08302340799999999,28.19311015,b,1,0.467187299,0.515616772
1381,26.304000000000002,5.343999999999999,man-utd,leicester,Scored,53,16/17,0.200435064,26.84136271,b,1,0.449339596,0.514745386
