,AwayAttack,AwayDefense,HomeAttack,HomeDefense
Arsenal,1.4088509340695603,1.196610335408333,1.5668451783893376,1.0919266858337155
Bournemouth,0.8713276353898127,1.6258466583436344,1.1479027573767002,1.3161933822779117
Burnley,0.7996739562546561,1.6236010369778537,0.9444583908794858,1.257890733964004
Chelsea,1.2109764938169796,0.6911963737088449,1.5368046349771656,0.8521125322123092
Crystal Palace,1.1481104519309815,1.409432731175995,1.0937978006838251,1.1644247950696773
Everton,1.0767723294206726,1.2953278470688923,1.3528590448906999,0.9208163009536251
Hull,0.8022591550711181,1.6178389776256343,0.9653685261599887,1.6989038655840676
Leicester,0.9739574634593817,1.438440918315391,1.1950301303578514,1.2304778806475545
Liverpool,1.500096785260122,0.9593784554167017,1.4997011798394126,0.8130135906239417
Man City,1.6209477999808666,0.851727984744008,1.559220761278045,0.7226121449684015
Man United,1.176134143790012,0.8721875552950867,1.3344430489312118,0.6808636143376215
Middlesbrough,0.6728207079353006,1.4422752135154988,0.9300630149049394,1.2215041944895932
Southampton,1.1868312912223566,1.120715515755226,1.258449303912221,1.0868242934030212
Stoke,1.0407726836012208,1.4401714108832622,1.1994963492342319,1.175517027740042
Sunderland,0.7678496533777828,1.6662946893313832,0.8647442387049377,1.5060364813032812
Swansea,0.8886954810386636,1.4339755476302558,1.1125501434796845,1.4214022244087612
Tottenham,1.357124124678531,0.9190927861265924,1.4880659622124086,0.6958246415361985
Watford,0.8181584309369822,1.420644287921518,1.02575932305633,1.2489551928297558
West Brom,0.9167766934832541,1.203245632054625,1.1662833844607015,1.1435700478560482
West Ham,1.2492198619014547,1.3573492603400186,1.1145863666356606,1.3120288254552428
