,AwayTeam,Date,HomeTeam
39,Huddersfield,09-Sep-17,West Ham
40,Brighton,16-Sep-17,Bournemouth
41,Arsenal,16-Sep-17,Chelsea
42,Southampton,16-Sep-17,Crystal Palace
43,Leicester,16-Sep-17,Huddersfield
44,Burnley,16-Sep-17,Liverpool
45,Everton,16-Sep-17,Man United
46,Stoke,16-Sep-17,Newcastle
47,Swansea,16-Sep-17,Tottenham
48,Man City,16-Sep-17,Watford
49,West Ham,16-Sep-17,West Brom
50,West Brom,23-Sep-17,Arsenal
51,Newcastle,23-Sep-17,Brighton
52,Huddersfield,23-Sep-17,Burnley
53,Bournemouth,23-Sep-17,Everton
54,Liverpool,23-Sep-17,Leicester
55,Crystal Palace,23-Sep-17,Man City
56,Man United,23-Sep-17,Southampton
57,Chelsea,23-Sep-17,Stoke
58,Watford,23-Sep-17,Swansea
59,Tottenham,23-Sep-17,West Ham
60,Brighton,30-Sep-17,Arsenal
61,Leicester,30-Sep-17,Bournemouth
62,Man City,30-Sep-17,Chelsea
63,Burnley,30-Sep-17,Everton
64,Tottenham,30-Sep-17,Huddersfield
65,Crystal Palace,30-Sep-17,Man United
66,Liverpool,30-Sep-17,Newcastle
67,Southampton,30-Sep-17,Stoke
68,Watford,30-Sep-17,West Brom
69,Swansea,30-Sep-17,West Ham
70,Everton,14-Oct-17,Brighton
71,West Ham,14-Oct-17,Burnley
72,Chelsea,14-Oct-17,Crystal Palace
73,West Brom,14-Oct-17,Leicester
74,Man United,14-Oct-17,Liverpool
75,Stoke,14-Oct-17,Man City
76,Newcastle,14-Oct-17,Southampton
77,Huddersfield,14-Oct-17,Swansea
78,Bournemouth,14-Oct-17,Tottenham
79,Arsenal,14-Oct-17,Watford
80,Watford,21-Oct-17,Chelsea
81,Arsenal,21-Oct-17,Everton
82,Man United,21-Oct-17,Huddersfield
83,Burnley,21-Oct-17,Man City
84,Crystal Palace,21-Oct-17,Newcastle
85,West Brom,21-Oct-17,Southampton
86,Bournemouth,21-Oct-17,Stoke
87,Leicester,21-Oct-17,Swansea
88,Liverpool,21-Oct-17,Tottenham
89,Brighton,21-Oct-17,West Ham
90,Swansea,28-Oct-17,Arsenal
91,Chelsea,28-Oct-17,Bournemouth
92,Southampton,28-Oct-17,Brighton
93,Newcastle,28-Oct-17,Burnley
94,West Ham,28-Oct-17,Crystal Palace
95,Everton,28-Oct-17,Leicester
96,Huddersfield,28-Oct-17,Liverpool
97,Tottenham,28-Oct-17,Man United
98,Stoke,28-Oct-17,Watford
99,Man City,28-Oct-17,West Brom
100,Man United,04-Nov-17,Chelsea
101,Watford,04-Nov-17,Everton
102,West Brom,04-Nov-17,Huddersfield
103,Arsenal,04-Nov-17,Man City
104,Bournemouth,04-Nov-17,Newcastle
105,Burnley,04-Nov-17,Southampton
106,Leicester,04-Nov-17,Stoke
107,Brighton,04-Nov-17,Swansea
108,Crystal Palace,04-Nov-17,Tottenham
109,Liverpool,04-Nov-17,West Ham
110,Tottenham,18-Nov-17,Arsenal
111,Huddersfield,18-Nov-17,Bournemouth
112,Stoke,18-Nov-17,Brighton
113,Swansea,18-Nov-17,Burnley
114,Everton,18-Nov-17,Crystal Palace
115,Man City,18-Nov-17,Leicester
116,Southampton,18-Nov-17,Liverpool
117,Newcastle,18-Nov-17,Man United
118,West Ham,18-Nov-17,Watford
119,Chelsea,18-Nov-17,West Brom
120,Arsenal,25-Nov-17,Burnley
