x,y,Team,Against,Scored,Match No,Date
101.56799999999993,193.68800000000002,sheff-w-day,preston-north-end,Missed,226,03-12-2016
49.599999999999966,177.99,sheff-w-day,preston-north-end,Scored,226,03-12-2016
56.319999999999936,151.604,sheff-w-day,preston-north-end,Missed,226,03-12-2016
74.23999999999995,212.392,sheff-w-day,preston-north-end,Missed,226,03-12-2016
55.42399999999992,121.21000000000001,sheff-w-day,preston-north-end,Missed,226,03-12-2016
84.096,255.144,sheff-w-day,preston-north-end,Missed,226,03-12-2016
36.60799999999995,206.714,sheff-w-day,preston-north-end,Missed,226,03-12-2016
99.32799999999992,103.50800000000001,sheff-w-day,preston-north-end,Missed,226,03-12-2016
67.51999999999998,183,sheff-w-day,preston-north-end,Scored,226,03-12-2016
53.632000000000026,193.02,preston-north-end,sheff-w-day,Missed,226,03-12-2016
132.03200000000004,250.802,preston-north-end,sheff-w-day,Missed,226,03-12-2016
93.95200000000003,152.272,preston-north-end,sheff-w-day,Missed,226,03-12-2016
75.13600000000002,158.61800000000002,preston-north-end,sheff-w-day,Missed,226,03-12-2016
109.184,144.59,preston-north-end,sheff-w-day,Missed,226,03-12-2016
56.32000000000001,225.418,preston-north-end,sheff-w-day,Missed,226,03-12-2016
126.20799999999998,218.07,preston-north-end,sheff-w-day,Missed,226,03-12-2016
125.76,165.29800000000003,preston-north-end,sheff-w-day,Missed,226,03-12-2016
112.76799999999999,251.47,preston-north-end,sheff-w-day,Missed,226,03-12-2016
110.52799999999998,122.88,preston-north-end,sheff-w-day,Missed,226,03-12-2016
109.184,213.394,preston-north-end,sheff-w-day,Missed,226,03-12-2016
64.38399999999999,157.95000000000002,preston-north-end,sheff-w-day,Scored,226,03-12-2016
143.68,155.27800000000002,preston-north-end,sheff-w-day,Missed,226,03-12-2016
37.50399999999999,176.65400000000002,preston-north-end,sheff-w-day,Missed,226,03-12-2016
100.22399999999999,125.21800000000002,preston-north-end,sheff-w-day,Missed,226,03-12-2016
101.11999999999995,200.36800000000002,preston-north-end,ipswich,Missed,326,28-01-2017
99.77599999999995,115.19800000000001,preston-north-end,ipswich,Missed,326,28-01-2017
49.15199999999999,193.02,preston-north-end,ipswich,Missed,326,28-01-2017
101.11999999999995,257.81600000000003,preston-north-end,ipswich,Missed,326,28-01-2017
129.79199999999997,208.71800000000002,preston-north-end,ipswich,Missed,326,28-01-2017
