x,y,Team,Against,Scored,Match No,Date
59.007999999999925,174.65,fulham,newcastle,Scored,0,05-08-2016
137.856,159.62,fulham,newcastle,Missed,0,05-08-2016
84.99199999999996,128.224,fulham,newcastle,Missed,0,05-08-2016
76.47999999999996,258.48400000000004,fulham,newcastle,Missed,0,05-08-2016
79.61599999999999,223.08,fulham,newcastle,Missed,0,05-08-2016
95.744,223.41400000000002,newcastle,fulham,Missed,0,05-08-2016
84.09600000000002,228.758,newcastle,fulham,Missed,0,05-08-2016
57.216000000000015,184.336,newcastle,fulham,Missed,0,05-08-2016
144.57600000000002,155.946,newcastle,fulham,Missed,0,05-08-2016
65.28,169.64000000000001,newcastle,fulham,Missed,0,05-08-2016
67.52000000000001,164.63,newcastle,fulham,Missed,0,05-08-2016
115.904,236.44,newcastle,fulham,Missed,0,05-08-2016
72.44799999999998,216.066,newcastle,fulham,Missed,0,05-08-2016
74.68799999999993,144.924,b-ham-city,cardiff,Missed,1,06-08-2016
116.79999999999995,249.466,b-ham-city,cardiff,Missed,1,06-08-2016
76.47999999999996,140.582,b-ham-city,cardiff,Missed,1,06-08-2016
122.17599999999999,263.828,b-ham-city,cardiff,Missed,1,06-08-2016
139.64799999999997,245.458,b-ham-city,cardiff,Missed,1,06-08-2016
99.77599999999995,202.706,b-ham-city,cardiff,Missed,1,06-08-2016
110.52799999999996,173.982,b-ham-city,cardiff,Missed,1,06-08-2016
119.03999999999996,262.826,b-ham-city,cardiff,Missed,1,06-08-2016
53.18399999999997,230.094,b-ham-city,cardiff,Missed,1,06-08-2016
53.18399999999997,204.376,b-ham-city,cardiff,Missed,1,06-08-2016
144.57599999999996,132.56600000000003,b-ham-city,cardiff,Missed,1,06-08-2016
120.38399999999996,236.774,b-ham-city,cardiff,Missed,1,06-08-2016
119.03999999999996,92.15199999999999,b-ham-city,cardiff,Missed,1,06-08-2016
83.64799999999991,135.90600000000003,b-ham-city,cardiff,Missed,1,06-08-2016
55.42399999999999,166.96800000000002,cardiff,b-ham-city,Missed,1,06-08-2016
63.936000000000014,188.34400000000002,cardiff,b-ham-city,Missed,1,06-08-2016
83.64799999999998,159.286,cardiff,b-ham-city,Missed,1,06-08-2016
138.304,175.986,cardiff,b-ham-city,Missed,1,06-08-2016
118.59200000000004,223.41400000000002,cardiff,b-ham-city,Missed,1,06-08-2016
33.92,176.32,cardiff,b-ham-city,Missed,1,06-08-2016
59.90399999999999,186.006,cardiff,b-ham-city,Missed,1,06-08-2016
75.13600000000002,193.02,cardiff,b-ham-city,Missed,1,06-08-2016
123.52000000000001,122.54600000000002,cardiff,b-ham-city,Missed,1,06-08-2016
72.44799999999998,133.568,cardiff,b-ham-city,Missed,1,06-08-2016
133.824,240.78199999999998,cardiff,b-ham-city,Missed,1,06-08-2016
135.61600000000004,226.75400000000002,cardiff,b-ham-city,Missed,1,06-08-2016
126.65600000000002,105.512,cardiff,b-ham-city,Missed,1,06-08-2016
127.55200000000002,134.57000000000002,blackburn,norwich,Missed,2,06-08-2016
48.70399999999995,160.95600000000002,blackburn,norwich,Scored,2,06-08-2016
67.51999999999998,168.304,blackburn,norwich,Missed,2,06-08-2016
133.37599999999998,136.90800000000002,blackburn,norwich,Missed,2,06-08-2016
71.55199999999996,167.636,blackburn,norwich,Missed,2,06-08-2016
88.57600000000002,129.56,norwich,blackburn,Missed,2,06-08-2016
128.44799999999998,155.27800000000002,norwich,blackburn,Scored,2,06-08-2016
70.20799999999997,168.972,norwich,blackburn,Scored,2,06-08-2016
29.44,202.706,norwich,blackburn,Scored,2,06-08-2016
58.11200000000003,111.19,norwich,blackburn,Missed,2,06-08-2016
71.10399999999998,132.9,norwich,blackburn,Scored,2,06-08-2016
47.80799999999998,225.418,norwich,blackburn,Missed,2,06-08-2016
127.55200000000004,197.696,norwich,blackburn,Missed,2,06-08-2016
103.36000000000001,209.386,norwich,blackburn,Missed,2,06-08-2016
136.064,186.006,norwich,blackburn,Missed,2,06-08-2016
63.936000000000014,174.316,norwich,blackburn,Missed,2,06-08-2016
38.84799999999998,115.19800000000001,norwich,blackburn,Missed,2,06-08-2016
126.656,134.23600000000002,bristol,wigan,Missed,3,06-08-2016
88.12799999999993,261.824,bristol,wigan,Missed,3,06-08-2016
46.01599999999996,201.37,bristol,wigan,Missed,3,06-08-2016
72.44799999999992,223.41400000000002,bristol,wigan,Missed,3,06-08-2016
95.29599999999999,156.614,bristol,wigan,Missed,3,06-08-2016
107.83999999999997,256.814,bristol,wigan,Missed,3,06-08-2016
139.2,158.952,bristol,wigan,Missed,3,06-08-2016
132.03199999999998,236.774,bristol,wigan,Missed,3,06-08-2016
47.807999999999936,106.18,bristol,wigan,Missed,3,06-08-2016
54.976,235.43800000000002,bristol,wigan,Missed,3,06-08-2016
115.90399999999994,90.14800000000002,bristol,wigan,Missed,3,06-08-2016
59.45599999999996,181.33,bristol,wigan,Missed,3,06-08-2016
69.31200000000001,122.54600000000002,bristol,wigan,Missed,3,06-08-2016
108.73599999999999,127.55600000000004,bristol,wigan,Missed,3,06-08-2016
116.79999999999995,126.554,bristol,wigan,Missed,3,06-08-2016
69.75999999999999,110.52199999999999,bristol,wigan,Missed,3,06-08-2016
44.67199999999997,178.65800000000002,bristol,wigan,Scored,3,06-08-2016
53.18399999999997,194.356,bristol,wigan,Scored,3,06-08-2016
73.79199999999997,228.424,bristol,wigan,Missed,3,06-08-2016
72.44799999999992,187.008,bristol,wigan,Missed,3,06-08-2016
112.32,173.982,bristol,wigan,Missed,3,06-08-2016
50.49599999999998,296.894,bristol,wigan,Missed,3,06-08-2016
66.17599999999999,116.20000000000002,bristol,wigan,Missed,3,06-08-2016
122.62399999999997,137.91,bristol,wigan,Missed,3,06-08-2016
43.327999999999975,101.17000000000002,wigan,bristol,Missed,3,06-08-2016
84.09600000000002,245.45800000000003,wigan,bristol,Missed,3,06-08-2016
81.40799999999999,213.06,wigan,bristol,Missed,3,06-08-2016
